gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,Unnamed: 8,training_images_count,example_occurrence_image_url,speciesKey,gbif_name,genus,family
1811255,,,,,641,,,116,http://www.boldsystems.org/pics/BLPEG/14-SRNP-102865-DHJ679882+1429632548.JPG,1811255,Rhabdatomis cora,Rhabdatomis,Erebidae
1811258,,,,,642,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/162997143/original.jpeg,1811258,Rhabdatomis laudamia,Rhabdatomis,Erebidae
1811298,,,,,643,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/121728219/original.jpeg,1811298,Elysius superba,Elysius,Erebidae
1811312,,,,,644,,,17,https://scan-bugs.org:443/imglib/scan/MISSA_MEM/MEM334/MEM334847_Elysius_conspersus_C_1539183215_lg.jpg,1811312,Elysius conspersus,Elysius,Erebidae
1811315,,,,,645,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/91765249/original.jpg,1811315,Elysius melanoplaga,Elysius,Erebidae
1811338,,,,,646,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/175475732/original.jpeg,1811338,Elysius terra,Elysius,Erebidae
1811342,,,,,647,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/349951584/original.jpg,1811342,Hypidalia sanguirena,Hypidalia,Erebidae
1811384,,,,,648,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/52418245/original.jpg,1811384,Cresera ilus,Cresera,Erebidae
1811391,,,,,649,,,10,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM425/425831_1659105721_lg.jpg,1811391,Cresera optimus,Cresera,Erebidae
1811476,,,,,650,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/22187380/original.jpg,1811476,Pheia haemapleura,Pheia,Erebidae
1811489,,,,,651,,,15,https://inaturalist-open-data.s3.amazonaws.com/photos/98859278/original.jpg,1811489,Pheia albisigna,Pheia,Erebidae
1811498,,,,,652,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/161083379/original.jpg,1811498,Pheia utica,Pheia,Erebidae
1811503,,,,,653,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/241293244/original.jpg,1811503,Pheia mathona,Pheia,Erebidae
1811506,,,,,654,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/6241597/original.jpeg,1811506,Pheia elegans,Pheia,Erebidae
1811546,,,,,655,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/109481630/original.jpeg,1811546,Correbia lycoides,Correbia,Erebidae
1811551,,,,,656,,,85,http://www.boldsystems.org/pics/BLPBB/06-SRNP-108461_DHJ608461+1199992200.jpg,1811551,Correbia undulata,Correbia,Erebidae
1811568,,,,,657,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/2996300/original.jpg,1811568,Correbia affinis,Correbia,Erebidae
1812491,,,,,658,,,28,https://inaturalist-open-data.s3.amazonaws.com/photos/128292015/original.jpeg,1812491,Procalypta subcyanea,Procalypta,Erebidae
1812519,,,,,659,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/234902762/original.jpeg,1812519,Ordishia rutilus,Ordishia,Erebidae
1812520,,,,,660,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/110868441/original.jpeg,1812520,Ordishia godmani,Ordishia,Erebidae
1812555,,,,,661,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/178752311/original.jpeg,1812555,Mesothen erythaema,Mesothen,Erebidae
1812559,,,,,662,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/343797011/original.jpeg,1812559,Mesothen montana,Mesothen,Erebidae
1812564,,,,,663,,,4,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM339/339401_1654895572_lg.jpg,1812564,Mesothen dorsimacula,Mesothen,Erebidae
1812573,,,,,664,,,87,https://inaturalist-open-data.s3.amazonaws.com/photos/178740212/original.jpg,1812573,Mesothen nomia,Mesothen,Erebidae
1812605,,,,,665,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/85742538/original.jpg,1812605,Ptychotricos zeus,Ptychotricos,Erebidae
1812741,,,,,666,,,40,https://inaturalist-open-data.s3.amazonaws.com/photos/169915773/original.jpeg,1812741,Psoloptera thoracica,Psoloptera,Erebidae
1812744,,,,,667,,,20,https://inaturalist-open-data.s3.amazonaws.com/photos/91524830/original.jpeg,1812744,Psoloptera basifulva,Psoloptera,Erebidae
1812828,,,,,668,,,22,https://inaturalist-open-data.s3.amazonaws.com/photos/190900575/original.jpeg,1812828,Prepiella aurea,Prepiella,Erebidae
1812830,,,,,669,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/253542154/original.jpg,1812830,Prepiella pexicera,Prepiella,Erebidae
1812845,,,,,670,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/301332782/original.jpeg,1812845,Eupyra ducalis,Eupyra,Erebidae
1812880,,,,,671,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/363563324/original.jpeg,1812880,Phaio stratiotes,Phaio,Erebidae
1812881,,,,,672,,,55,https://inaturalist-open-data.s3.amazonaws.com/photos/116532407/original.jpeg,1812881,Phaio acquiguttata,Phaio,Erebidae
1813187,,,,,673,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/79107337/original.jpeg,1813187,Lycomorphodes sordida,Lycomorphodes,Erebidae
1813217,,,,,674,,,25,https://inaturalist-open-data.s3.amazonaws.com/photos/116011352/original.jpeg,1813217,Phaenarete diana,Phaenarete,Erebidae
1813332,,,,,675,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/63589048/original.jpeg,1813332,Heliura thysbodes,Heliura,Erebidae
1813339,,,,,676,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/329054159/original.jpg,1813339,Heliura flavopunctata,Heliura,Erebidae
1813362,,,,,677,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/292593591/original.jpg,1813362,Heliura gigantea,Heliura,Erebidae
1813366,,,,,678,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/280824381/original.jpeg,1813366,Heliura rhodophila,Heliura,Erebidae
1813372,,,,,679,,,39,http://www.boldsystems.org/pics/BLPEE/13-SRNP-104055-DHJ676776+1407854412.JPG,1813372,Heliura banoca,Heliura,Erebidae
1813413,,,,,680,,,77,https://inaturalist-open-data.s3.amazonaws.com/photos/79774937/original.jpeg,1813413,Estigmene albida,Estigmene,Erebidae
1814034,,,,,681,,,31,https://inaturalist-open-data.s3.amazonaws.com/photos/81496232/original.jpeg,1814034,Amaxia chaon,Amaxia,Erebidae
1814045,,,,,682,,,90,http://www.boldsystems.org/pics/XAA/03-SRNP-19647b.jpg,1814045,Amaxia apyga,Amaxia,Erebidae
1814048,,,,,683,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/106594861/original.jpeg,1814048,Amaxia carinosa,Amaxia,Erebidae
1814052,,,,,684,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/99435645/original.jpeg,1814052,Amaxia lepida,Amaxia,Erebidae
1814056,,,,,685,,,16,https://inaturalist-open-data.s3.amazonaws.com/photos/93819484/original.jpeg,1814056,Amaxia pandama,Amaxia,Erebidae
1814182,,,,,686,,,132,https://inaturalist-open-data.s3.amazonaws.com/photos/171917059/original.jpg,1814182,Ammalo helops,Ammalo,Erebidae
1814206,,,,,687,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/115435863/original.jpeg,1814206,Phaeomolis lineatus,Phaeomolis,Erebidae
1814231,,,,,688,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/172592195/original.jpg,1814231,Agyrta dux,Agyrta,Erebidae
