gbif_name,gbif_key,fieldguide_id,cover_image_url,antenna_id,inat_id,category_map_index,common_name_en,,genus,family,training_images_count,example_occurrence_image_url
,1763187,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/200133402/original.jpeg
,1763188,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/245343174/original.jpeg
,1763197,,,,,#N/A,,,,,11,http://www.boldsystems.org/pics/MHAUB/88-srnp-19253-dhj315659+1140457950.jpg
Eulepidotis rectimargo,1763199,,,,,127,,,Eulepidotis,Erebidae,174,https://inaturalist-open-data.s3.amazonaws.com/photos/143874799/original.jpeg
,1763221,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/265977498/original.jpg
Eulepidotis testaceiceps,1763223,,,,,129,,,Eulepidotis,Erebidae,51,https://scan-bugs.org:443/imglib/scan/MISSA_MEM/MEM375/MEM375967_Eulepidotis_testacei_1553283130_lg.jpg
,1763224,,,,,#N/A,,,,,23,https://inaturalist-open-data.s3.amazonaws.com/photos/328932125/original.jpg
,1763234,,,,,#N/A,,,,,32,https://inaturalist-open-data.s3.amazonaws.com/photos/7645790/original.jpg
,1763244,,,,,#N/A,,,,,23,https://inaturalist-open-data.s3.amazonaws.com/photos/363243040/original.jpg
,1763249,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/349232251/original.jpeg
,1763255,,,,,#N/A,,,,,16,https://inaturalist-open-data.s3.amazonaws.com/photos/77184063/original.jpeg
,1763256,,,,,#N/A,,,,,59,https://inaturalist-open-data.s3.amazonaws.com/photos/211032860/original.jpeg
,1763258,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/51949607/original.jpeg
,1763260,,,,,#N/A,,,,,20,https://inaturalist-open-data.s3.amazonaws.com/photos/246174396/original.jpeg
,1763642,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/250962545/original.jpg
,1764142,,,,,#N/A,,,,,50,https://inaturalist-open-data.s3.amazonaws.com/photos/174189598/original.jpeg
,1764145,,,,,#N/A,,,,,33,https://inaturalist-open-data.s3.amazonaws.com/photos/248019659/original.jpeg
,1764146,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/56032787/original.jpeg
,1764152,,,,,#N/A,,,,,15,http://www.boldsystems.org/pics/BLPDF/18-SRNP-106732-DHJ707819+1683302944.JPG
Micrathetis dasarada,1764686,,,,,143,,,Micrathetis,Noctuidae,176,http://www.boldsystems.org/pics/BLPAA/17-SRNP-100819-DHJ693798+1528305778.JPG
Micrathetis tecnion,1764687,,,,,144,,,Micrathetis,Noctuidae,101,http://www.boldsystems.org/pics/BLPED/11-SRNP-105394-DHJ666064+1331927514.JPG
,1765113,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/123669768/original.jpg
,1765131,,,,,#N/A,,,,,15,https://inaturalist-open-data.s3.amazonaws.com/photos/280498270/original.jpeg
,1765147,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/286064867/original.jpeg
,1765151,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/2987366/original.jpg
,1765155,,,,,#N/A,,,,,30,https://inaturalist-open-data.s3.amazonaws.com/photos/80863590/original.jpeg
,1765453,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/284321700/original.jpg
,1765454,,,,,#N/A,,,,,14,https://inaturalist-open-data.s3.amazonaws.com/photos/65718685/original.jpeg
,1765463,,,,,#N/A,,,,,16,https://inaturalist-open-data.s3.amazonaws.com/photos/349715044/original.jpg
,1765464,,,,,#N/A,,,,,6,http://www.boldsystems.org/pics/BLPAA/18-SRNP-107252-DHJ708339+1683302052.JPG
,1765477,,,,,#N/A,,,,,26,https://inaturalist-open-data.s3.amazonaws.com/photos/251809836/original.jpeg
,1765478,,,,,#N/A,,,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/387266269/original.jpeg
,1765519,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/287341713/original.jpeg
,1765524,,,,,#N/A,,,,,7,http://www.boldsystems.org/pics/MHAUA/90-srnp-727-dhj312154+1140458118.jpg
,1765683,,,,,#N/A,,,,,19,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM456/456116_1654291651_lg.jpg
,1765693,,,,,#N/A,,,,,15,https://inaturalist-open-data.s3.amazonaws.com/photos/269885511/original.jpeg
,1765696,,,,,#N/A,,,,,19,https://inaturalist-open-data.s3.amazonaws.com/photos/338605170/original.jpg
,1765907,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/218365722/original.jpg
Sanys irrosea,1766222,,,,,162,,,Sanys,Erebidae,9,https://inaturalist-open-data.s3.amazonaws.com/photos/204100795/original.jpeg
,1766228,,,,,#N/A,,,,,6,http://www.boldsystems.org/pics/MHAUF/92-SRNP-3818-DHJ322040+1145315208.jpg
,1766358,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/88388098/original.jpeg
,1766359,,,,,#N/A,,,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/61476528/original.jpeg
,1766846,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/133206426/original.jpg
,1766879,,,,,#N/A,,,,,12,https://inaturalist-open-data.s3.amazonaws.com/photos/201246965/original.jpeg
,1767038,,,,,#N/A,,,,,25,https://inaturalist-open-data.s3.amazonaws.com/photos/256056232/original.jpeg
,1767052,,,,,#N/A,,,,,669,https://inaturalist-open-data.s3.amazonaws.com/photos/93121703/original.jpg
,1767103,,,,,#N/A,,,,,23,https://inaturalist-open-data.s3.amazonaws.com/photos/28211333/original.jpeg
,1767117,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/87569626/original.jpeg
,1767123,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/89853030/original.jpeg
,1767174,,,,,#N/A,,,,,15,https://inaturalist-open-data.s3.amazonaws.com/photos/98673162/original.jpeg
,1767433,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/10611910/original.jpeg
,1767499,,,,,#N/A,,,,,127,https://inaturalist-open-data.s3.amazonaws.com/photos/252544754/original.jpeg
,1767571,,,,,#N/A,,,,,385,https://inaturalist-open-data.s3.amazonaws.com/photos/239220548/original.jpg
,1767575,,,,,#N/A,,,,,4,http://www.boldsystems.org/pics/BLPEG/14-SRNP-101593-DHJ678610+1407854484.JPG
,1767578,,,,,#N/A,,,,,6,http://www.boldsystems.org/pics/MHAUB/92-srnp-10951-dhj313187+1140458410.jpg
,1767583,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/59376380/original.jpg
,1767915,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/142327337/original.jpg
,1768283,,,,,#N/A,,,,,120,https://inaturalist-open-data.s3.amazonaws.com/photos/336669378/original.jpg
,1768471,,,,,#N/A,,,,,32,https://bugguide.net/images/cache/1LI/ZCL/1LIZCL7Z6L6ROZ8RZH5RHH5RKHERHHIZAL5RTL8RAL4RHH5RAL6RVL4RLHKRTZSRJZIRYZIR9LRZOZKR9LXZTL6RHH.jpg
,1768928,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/341038198/original.jpeg
,1768976,,,,,#N/A,,,,,21,https://inaturalist-open-data.s3.amazonaws.com/photos/135951452/original.jpeg
,1768982,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/215879117/original.jpeg
,1768990,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/223158372/original.jpeg
,1768996,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/378313635/original.jpeg
,1769048,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/249735614/original.jpeg
,1769834,,,,,#N/A,,,,,17,https://inaturalist-open-data.s3.amazonaws.com/photos/130846855/original.jpeg
,1770012,,,,,#N/A,,,,,18,https://inaturalist-open-data.s3.amazonaws.com/photos/181406883/original.jpg
Gonodonta fulvangula,1770017,,,,,191,,,Gonodonta,Erebidae,7,https://inaturalist-open-data.s3.amazonaws.com/photos/192159374/original.jpg
,1770021,,,,,#N/A,,,,,11,https://inaturalist-open-data.s3.amazonaws.com/photos/184150432/original.jpeg
,1770032,,,,,#N/A,,,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/353764990/original.jpg
Gonodonta sinaldus,1770038,,,,,194,,,Gonodonta,Erebidae,97,https://inaturalist-open-data.s3.amazonaws.com/photos/58995430/original.jpg
,1770042,,,,,#N/A,,,,,10,https://inaturalist-open-data.s3.amazonaws.com/photos/340584968/original.jpeg
,1770044,,,,,#N/A,,,,,152,https://inaturalist-open-data.s3.amazonaws.com/photos/108238681/original.jpeg
,1770069,,,,,#N/A,,,,,46,https://inaturalist-open-data.s3.amazonaws.com/photos/183885787/original.jpg
,1770074,,,,,#N/A,,,,,5,https://inaturalist-open-data.s3.amazonaws.com/photos/174544035/original.jpeg
,1770077,,,,,#N/A,,,,,26,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM375/MEM375469_Gonodonta_bidens_IWF_1542818917_lg.jpg
,1770078,,,,,#N/A,,,,,11,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM375/MEM375471_Gonodonta_immacula_I_1542831260_lg.jpg
,1770079,,,,,#N/A,,,,,8,https://inaturalist-open-data.s3.amazonaws.com/photos/243862329/original.jpeg
,1770263,,,,,#N/A,,,,,52,https://inaturalist-open-data.s3.amazonaws.com/photos/150170013/original.jpeg
,1770659,,,,,#N/A,,,,,633,https://inaturalist-open-data.s3.amazonaws.com/photos/319412181/original.jpg
,1771449,,,,,#N/A,,,,,12,https://ecdysis.org/imglib/scan/MISSA_MEM/MEM38/MEM38766_Cissusa_inconspicua_I_1551204376.jpeg
,1771849,,,,,#N/A,,,,,6,https://inaturalist-open-data.s3.amazonaws.com/photos/130992966/original.jpeg
Erebostrota stenelea,1771934,,,,,206,,,Erebostrota,Erebidae,10,https://inaturalist-open-data.s3.amazonaws.com/photos/31378023/original.jpeg
Darceta falcata,1772119,,,,,207,,,Darceta,Noctuidae,13,https://inaturalist-open-data.s3.amazonaws.com/photos/102197629/original.jpeg
Darceta severa,1772121,,,,,208,,,Darceta,Noctuidae,6,https://inaturalist-open-data.s3.amazonaws.com/photos/58749973/original.jpg
,1772218,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/148457395/original.jpeg
,1772235,,,,,#N/A,,,,,26,https://inaturalist-open-data.s3.amazonaws.com/photos/187578868/original.jpg
,1773736,,,,,#N/A,,,,,21,https://inaturalist-open-data.s3.amazonaws.com/photos/190839673/original.jpg
Chalcoecia patricia,1773994,,,,,212,,,Chalcoecia,Noctuidae,6,https://inaturalist-open-data.s3.amazonaws.com/photos/32168249/original.jpg
Chalcoecia gloria,1773996,,,,,213,,,Chalcoecia,Noctuidae,11,https://inaturalist-open-data.s3.amazonaws.com/photos/51958366/original.jpg
,1773997,,,,,#N/A,,,,,5,http://www.boldsystems.org/pics/BLPEG/14-SRNP-101598-DHJ678615+1407854484.JPG
,1773999,,,,,#N/A,,,,,13,https://inaturalist-open-data.s3.amazonaws.com/photos/254623090/original.jpeg
,1774000,,,,,#N/A,,,,,22,https://inaturalist-open-data.s3.amazonaws.com/photos/308287850/original.jpeg
,1774356,,,,,#N/A,,,,,9,https://inaturalist-open-data.s3.amazonaws.com/photos/323732402/original.jpeg
,1774361,,,,,#N/A,,,,,18,https://inaturalist-open-data.s3.amazonaws.com/photos/83476867/original.jpeg
,1774362,,,,,#N/A,,,,,7,https://inaturalist-open-data.s3.amazonaws.com/photos/199532660/original.jpeg
,1774431,,,,,#N/A,,,,,4,https://inaturalist-open-data.s3.amazonaws.com/photos/97895321/original.jpeg
,1774929,,,,,#N/A,,,,,91,http://www.boldsystems.org/pics/BLPDF/18-SRNP-106773-DHJ707860+1683302948.JPG
